"title","type","release_year","age_certification","runtime","genres","production_countries","imdb_score","imdb_votes","tmdb_popularity","tmdb_score"
"Five Came Back: The Reference Films","SHOW",1945,"TV-MA",51,"['documentation']","US",NA,NA,0.6,NA
"Taxi Driver","MOVIE",1976,"R",114,"['drama', 'crime']","US",8.2,808582,40.965,8.179
"Deliverance","MOVIE",1972,"R",109,"['drama', 'action', 'thriller', 'european']","US",7.7,107673,10.01,7.3
"Monty Python and the Holy Grail","MOVIE",1975,"PG",91,"['fantasy', 'action', 'comedy']","GB",8.2,534486,15.461,7.811
"The Dirty Dozen","MOVIE",1967,NA,150,"['war', 'action']","GLOBAL",7.7,72662,20.398,7.6
"Monty Python's Flying Circus","SHOW",1969,"TV-14",30,"['comedy', 'european']","GB",8.8,73424,17.617,8.306
"Life of Brian","MOVIE",1979,"R",94,"['comedy']","GB",8,395024,17.77,7.8
"Dirty Harry","MOVIE",1971,"R",102,"['thriller', 'action', 'crime']","US",7.7,155051,12.817,7.5
"Bonnie and Clyde","MOVIE",1967,"R",110,"['crime', 'drama', 'action']","US",7.7,112048,15.687,7.5
"The Blue Lagoon","MOVIE",1980,"R",104,"['romance', 'action', 'drama']","US",5.8,69844,50.324,6.156
"The Guns of Navarone","MOVIE",1961,NA,158,"['action', 'drama', 'war']","GLOBAL",7.5,50748,13.844,7.3
"The Professionals","MOVIE",1966,"PG-13",117,"['western', 'action', 'european']","US",7.3,16446,13.123,7.1
"Richard Pryor: Live in Concert","MOVIE",1979,"R",78,"['comedy', 'documentation']","US",8.1,5141,4.718,7.5
"White Christmas","MOVIE",1954,NA,115,"['romance', 'comedy']","US",7.5,42488,8.915,7.2
"Cairo Station","MOVIE",1958,NA,77,"['drama', 'crime', 'comedy']","EG",7.5,4471,5.546,7.3
"Hitler: A Career","MOVIE",1977,"PG",150,"['history', 'documentation', 'european']","DE",7.5,2460,4.305,7.3
"FTA","MOVIE",1972,"R",97,"['war', 'documentation', 'music', 'comedy']","US",6.2,418,1.268,6.1
"Alexandria… Why?","MOVIE",1979,NA,133,"['drama']","EG",7.2,1727,1.37,6
"The Land","MOVIE",1969,NA,129,"['drama']","EG",8.1,1958,1.265,8.5
"Dostana","MOVIE",1980,NA,161,"['drama', 'comedy', 'crime', 'romance', 'action']","IN",2.1,25,3.98,4.9
"Saladin the Victorious","MOVIE",1963,NA,186,"['action', 'drama', 'war', 'history', 'romance']","EG",7.6,2508,4.156,7.1
"Alibaba Aur 40 Chor","MOVIE",1979,NA,146,"['drama', 'romance', 'action', 'fantasy', 'family']","GLOBAL",6.2,565,2.582,6.8
"The Blazing Sun","MOVIE",1954,NA,100,"['crime', 'romance', 'drama']","EG",7.4,1219,2.184,7
"Dark Waters","MOVIE",1956,NA,120,"['action', 'drama', 'romance', 'thriller']","EG",6.7,610,0.849,5.9
"We Are All for the Fatherland","MOVIE",1979,NA,74,"['documentation']","GLOBAL",6.1,47,0.6,5.2
"Singapore","MOVIE",1960,NA,158,"['drama', 'thriller', 'crime']","IN",6.4,84,0.792,6.3
"Beirut, Oh Beirut","MOVIE",1975,NA,110,"['drama']","LB",6.4,108,1.025,7.2
"The Return of the Prodigal Son","MOVIE",1976,NA,124,"['music', 'drama', 'crime']","GLOBAL",7.2,780,1.858,5.3
"Khoon Khoon","MOVIE",1973,NA,131,"['crime', 'thriller']","IN",5.1,41,1.948,3.8
"Manoranjan","MOVIE",1974,NA,162,"['romance', 'drama', 'comedy']","IN",6.5,237,1.532,5.3
"Ujala","MOVIE",1959,NA,142,"['romance', 'crime', 'drama']","IN",6.6,78,0.84,6
"Whispers","MOVIE",1980,NA,93,"['documentation']","GLOBAL",7.8,78,0.6,5
"Chadi Jawani Budhe Nu","MOVIE",1976,NA,135,"['romance']","IN",4.6,14,0.62,6
"Bandie","MOVIE",1978,NA,141,"['drama', 'action', 'romance']","IN",4.4,35,1.166,6
"Seinfeld","SHOW",1989,"TV-PG",24,"['comedy']","US",8.9,308824,130.213,8.301
"GoodFellas","MOVIE",1990,"R",145,"['drama', 'crime']","US",8.7,1131681,50.387,8.463
"Full Metal Jacket","MOVIE",1987,"R",117,"['war', 'drama']","GLOBAL",8.3,729274,32.937,8.1
"Once Upon a Time in America","MOVIE",1984,"R",139,"['crime', 'drama', 'european']","GLOBAL",8.3,345714,28.937,8.453
"When Harry Met Sally...","MOVIE",1989,"R",96,"['comedy', 'romance', 'drama']","US",7.7,216199,15.123,7.4
"A Nightmare on Elm Street","MOVIE",1984,"R",91,"['horror']","GLOBAL",7.4,234068,48.358,7.3
"Steel Magnolias","MOVIE",1989,"PG",119,"['comedy', 'drama', 'romance']","US",7.3,54946,11.69,7.2
"Police Academy","MOVIE",1984,"R",97,"['crime', 'comedy']","US",6.7,124881,25.533,6.6
"Christine","MOVIE",1983,"R",110,"['horror', 'thriller', 'european']","US",6.7,81922,23.418,6.8
"Knight Rider","SHOW",1982,"TV-PG",51,"['scifi', 'action', 'crime', 'drama']","US",6.9,34115,50.267,7.5
"Thomas & Friends","SHOW",1984,"TV-Y",10,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']","GB",6.5,5104,42.196,6.5
"Saved by the Bell","SHOW",1989,"TV-G",23,"['family', 'comedy', 'romance']","US",7.1,35034,19.855,8
"Awakenings","MOVIE",1990,"PG-13",120,"['drama', 'european']","US",7.8,139240,12.23,7.8
"Wheel of Fortune","SHOW",1983,"TV-G",26,"['family']","US",6.7,3145,5.935,6.8
"National Lampoon's Christmas Vacation","MOVIE",1989,"PG-13",97,"['comedy', 'european']","US",7.5,185760,18.862,7.2
"Lean On Me","MOVIE",1989,"PG-13",105,"['drama']","US",7.4,20680,19.449,7.3
"Eddie Murphy Raw","MOVIE",1987,"R",90,"['comedy', 'documentation']","US",7.6,19757,7.992,7.3
"She's Gotta Have It","MOVIE",1986,"R",84,"['romance', 'comedy']","US",6.7,14472,7.416,6.707
"Major Dad","SHOW",1989,"TV-PG",24,"['comedy', 'family']","US",6.5,2922,9.849,6.5
"Endless Love","MOVIE",1981,"R",116,"['romance', 'drama']","US",4.9,8524,19.116,5.7
"Danger Mouse","SHOW",1981,"TV-Y",14,"['animation', 'comedy', 'family', 'scifi', 'european']","GB",7.4,3545,8.55,7.5
"Vaashi","MOVIE",1983,NA,123,"['drama', 'thriller']","IN",6.7,388,3.79,NA
"Mobile Suit Gundam: Char's Counterattack","MOVIE",1988,NA,119,"['scifi', 'animation', 'action', 'drama', 'war']","JP",7.3,1693,8.092,6.7
"Mobile Suit Gundam II: Soldiers of Sorrow","MOVIE",1981,NA,133,"['animation', 'scifi', 'action', 'drama', 'war']","JP",7.2,1274,13.125,7.2
"Fireman Sam","SHOW",1987,"TV-Y",10,"['animation', 'comedy', 'family', 'crime', 'european']","GB",6.1,1785,37.647,7.2
"Sam Kinison: Breaking the Rules","MOVIE",1987,"R",50,"['comedy', 'documentation']","US",7.2,660,1.843,7.2
"Waiting for the Hearse","MOVIE",1985,NA,87,"['comedy']","AR",8,6399,7.81,8.1
"Tim Allen: Men Are Pigs","MOVIE",1990,NA,30,"['comedy', 'documentation']","US",6.1,360,2.482,6.3
"Mobile Suit Gundam III: Encounters in Space","MOVIE",1982,NA,144,"['action', 'drama', 'war', 'animation', 'scifi']","JP",7.6,1236,12.741,7.5
"Monty Python Live at the Hollywood Bowl","MOVIE",1982,"R",81,"['comedy', 'documentation']","GB",7.9,15230,6.833,7.4
"Disco Dancer","MOVIE",1982,NA,106,"['drama', 'romance']","IN",6.4,1476,7.879,5.3
"Agneepath","MOVIE",1990,NA,174,"['drama', 'action', 'crime']","IN",7.6,8947,4.062,6.5
"Parrot Sketch Not Included: Twenty Years of Monty Python","MOVIE",1989,NA,72,"['comedy']","GB",8.1,1522,1.801,6.9
"Too Young The Hero","MOVIE",1988,NA,100,"['drama', 'war']","US",6.7,502,1.485,6.2
"A Stoning in Fulham County","MOVIE",1988,NA,120,"['thriller', 'crime', 'drama']","US",5.9,387,1.01,5.8
"The Ryan White Story","MOVIE",1989,NA,102,"['drama']","US",7.2,863,1.981,5.9
"Dil","MOVIE",1990,NA,172,"['drama', 'comedy', 'romance']","IN",6.6,5316,3.992,6.5
"Adam: His Song Continues","MOVIE",1986,NA,100,"['crime', 'drama']","US",7,212,1.603,7
"The George McKenna Story","MOVIE",1988,NA,100,"['drama']","US",6,921,2.296,6.1
"In Defense of a Married Man","MOVIE",1990,NA,94,"['drama', 'crime']","US",5.6,207,2.444,4.9
"Bill Hicks: Sane Man","MOVIE",1989,"R",80,"['comedy']","US",NA,NA,3.377,7.5
"Mujrim","MOVIE",1989,NA,162,"['drama', 'action', 'crime']","IN",5.4,197,1.418,6
"Aakhri Adaalat","MOVIE",1988,NA,148,"['action', 'crime', 'thriller']","IN",5.1,92,1.374,5
"Alexandria, Again and Forever","MOVIE",1989,NA,105,"['drama']","GLOBAL",6.5,658,0.817,5.3
"Duniya","MOVIE",1984,NA,170,"['action', 'drama']","IN",6.3,245,1.394,NA
"Strange Voices","MOVIE",1987,NA,100,"['drama']","US",6.3,360,2.76,6.8
"Jaal","MOVIE",1986,NA,159,"['action', 'drama', 'thriller']","IN",5.2,125,3.366,5
"Quiet Victory: The Charlie Wedemeyer Story","MOVIE",1988,NA,100,"['drama']","US",7.2,144,2.246,8
"High Risk","SHOW",1988,"TV-PG",50,"['comedy']","US",3.8,6,1.4,NA
"Muqaddar Ka Faisla","MOVIE",1987,NA,172,"['action', 'comedy', 'drama', 'family']","IN",4.8,69,2.236,NA
"Pyar Ke Do Pal","MOVIE",1986,NA,125,"['drama', 'action']","IN",6.1,66,1.756,NA
"Sohni Mahiwal","MOVIE",1984,NA,160,"['romance', 'drama', 'action']","IN",6.1,297,6.052,5.8
"Ek Jaan Hain Hum","MOVIE",1983,NA,151,"['family', 'romance']","IN",6.3,70,0.986,7
"An Egyptian Story","MOVIE",1982,NA,129,"['drama', 'fantasy']","EG",7.3,1126,1.77,6.7
"The Little Wars","MOVIE",1982,NA,108,"['war', 'drama', 'european']","GLOBAL",6.3,152,1.956,5.5
"Unspeakable Acts","MOVIE",1990,NA,100,"['drama']","US",6.1,464,2.075,5.3
"Survivor","SHOW",2000,"TV-PG",48,"['reality']","US",7.4,24687,54.19,7.4
"Mission: Impossible","MOVIE",1996,"PG-13",110,"['thriller', 'action']","US",7.1,420673,41.115,6.9
"Stargate SG-1","SHOW",1997,"TV-PG",44,"['scifi', 'drama', 'action']","GLOBAL",8.4,90196,88.851,8.3
"Se7en","MOVIE",1995,"R",127,"['crime', 'thriller', 'drama']","US",8.6,1606270,51.633,8.352
"Pokémon","SHOW",1997,"TV-Y7",22,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family']","JP",7.4,198,115.356,7.633
"Boogie Nights","MOVIE",1997,"R",156,"['drama']","US",7.9,261563,20.436,7.6
"Forrest Gump","MOVIE",1994,"PG-13",142,"['drama', 'romance']","US",8.8,2021343,63.449,8.478
"Snatch","MOVIE",2000,"R",103,"['crime', 'comedy']","GLOBAL",8.3,841435,25.203,7.8
"The Talented Mr. Ripley","MOVIE",1999,"R",139,"['thriller', 'drama', 'crime']","US",7.4,207524,13.78,7.2
"One Piece","SHOW",1999,"TV-14",23,"['animation', 'action', 'comedy', 'drama', 'fantasy']","JP",8.8,117129,143.457,8.764
"The Challenge","SHOW",1998,"TV-14",40,"['reality', 'comedy', 'drama', 'scifi']","US",7.8,3362,18.075,7.7
"Titanic","MOVIE",1997,"PG-13",194,"['drama', 'romance']","US",7.9,1146825,155.683,7.878
"Cowboy Bebop","SHOW",1998,"TV-14",25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']","JP",8.9,115448,35.402,8.522
"Starship Troopers","MOVIE",1997,"R",129,"['scifi', 'action', 'thriller']","US",7.3,291452,29.5,6.993
"Mission: Impossible II","MOVIE",2000,"PG-13",123,"['thriller', 'action']","US",6.1,337987,29.392,6.1
"Dumb and Dumber","MOVIE",1994,"PG-13",107,"['comedy']","US",7.3,379999,31.852,6.6
"Neon Genesis Evangelion","SHOW",1995,"TV-14",24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']","JP",8.5,66629,49.27,8.637
"Gattaca","MOVIE",1997,"PG-13",106,"['scifi', 'thriller', 'romance', 'drama']","US",7.8,300701,17.789,7.553
"Léon: The Professional","MOVIE",1994,"R",111,"['crime', 'drama', 'action', 'thriller', 'european']","GLOBAL",8.5,1137357,51.406,8.323
"Gilmore Girls","SHOW",2000,"TV-14",46,"['comedy', 'drama']","US",8.2,121462,58.578,7.827
"Natural Born Killers","MOVIE",1994,"R",118,"['thriller', 'drama', 'crime', 'action']","US",7.3,11,21.933,7.1
"The Quick and the Dead","MOVIE",1995,"R",107,"['action', 'thriller', 'western', 'romance']","GLOBAL",6.5,93767,13.056,6.5
"You've Got Mail","MOVIE",1998,"PG",119,"['comedy', 'romance', 'drama']","US",6.7,211635,21.724,6.643
"Power Rangers","SHOW",1993,"TV-Y7",22,"['action', 'scifi', 'fantasy', 'family']","US",6.5,22110,19.699,6.8
"Big Daddy","MOVIE",1999,"PG-13",93,"['drama', 'comedy', 'european']","US",6.4,215053,26.848,6.45
"Vampires","MOVIE",1998,"R",104,"['fantasy', 'action', 'horror', 'thriller']","US",6.1,58670,10.108,6.3
"Yu-Gi-Oh!","SHOW",1998,"TV-Y",22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']","JP",7.3,21113,33.504,7.358
"Donnie Brasco","MOVIE",1997,"R",127,"['drama', 'thriller', 'crime']","US",7.7,303868,22.225,7.5
"The Magic School Bus","SHOW",1994,"TV-Y",26,"['animation', 'scifi', 'comedy', 'family', 'fantasy']","GLOBAL",7.8,9829,16.83,7.8
"Goosebumps","SHOW",1995,"TV-PG",22,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']","GLOBAL",7.6,13493,63.687,7.9
"InuYasha","SHOW",2000,"TV-14",25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']","JP",7.9,15823,62.355,8.6
"A River Runs Through It","MOVIE",1992,"PG",123,"['drama']","US",7.2,59854,19.58,7.1
"Girl, Interrupted","MOVIE",1999,"R",127,"['drama', 'european']","GLOBAL",7.3,183154,20.424,7.6
"Last Action Hero","MOVIE",1993,"PG-13",131,"['action', 'fantasy', 'comedy', 'family']","US",6.4,150498,22.196,6.379
"All That","SHOW",1994,"TV-G",22,"['comedy', 'family', 'music']","US",7.5,7718,6.688,8.4
"My Girl","MOVIE",1991,"PG",103,"['drama', 'family', 'romance', 'comedy', 'european']","US",6.9,80590,20.545,7.4
"Wyatt Earp","MOVIE",1994,"PG-13",191,"['western', 'crime', 'action', 'drama']","US",6.7,50774,14.677,6.751
"Eraser","MOVIE",1996,"R",115,"['thriller', 'action', 'drama', 'crime']","GLOBAL",6.1,110921,19.437,6
"Neon Genesis Evangelion: The End of Evangelion","MOVIE",1997,NA,87,"['action', 'drama', 'animation', 'scifi', 'fantasy']","JP",8,53152,32.569,8.4
"Vegas Vacation","MOVIE",1997,"PG",94,"['comedy']","US",5.9,49377,12.537,6.1
"In the Line of Fire","MOVIE",1993,"R",128,"['drama', 'thriller', 'crime', 'action']","US",7.2,102916,19.8,6.973
"Little Women","MOVIE",1994,"PG",115,"['drama', 'romance', 'family']","US",7.3,58178,13.683,7.314
"U.S. Marshals","MOVIE",1998,"PG-13",131,"['thriller', 'crime', 'action']","US",6.5,105286,24.205,6.5
"Barney & Friends","SHOW",1992,"TV-G",28,"['comedy', 'family']","US",3.8,9624,14.641,4.9
"Anaconda","MOVIE",1997,"PG-13",89,"['horror', 'thriller', 'action']","GLOBAL",4.8,104213,34.405,5.1
"Kenan & Kel","SHOW",1996,"TV-Y7",25,"['family', 'comedy']","US",7.8,15620,33.544,8.3
"The Replacements","MOVIE",2000,"PG-13",118,"['comedy', 'sport']","US",6.6,64771,30.982,6.6
"Seven Years in Tibet","MOVIE",1997,"PG-13",136,"['action', 'drama', 'history', 'war']","US",7.1,142903,13.766,7.2
"The Net","MOVIE",1995,"PG-13",114,"['thriller', 'action', 'crime', 'drama']","US",5.9,66667,15.935,6
"Cliffhanger","MOVIE",1993,"R",112,"['action', 'thriller', 'comedy', 'animation']","GLOBAL",6.5,128972,27.78,6.5
"Menace II Society","MOVIE",1993,"R",97,"['drama', 'crime', 'thriller']","US",7.5,58179,13.928,7.542
"Johnny Mnemonic","MOVIE",1995,"R",97,"['action', 'drama', 'scifi', 'thriller']","GLOBAL",5.6,71563,10.75,5.7
"3 Ninjas Kick Back","MOVIE",1994,"PG",93,"['comedy', 'family', 'action', 'sport']","GLOBAL",4.5,9321,12.603,5.5
"Edge of Seventeen","MOVIE",1998,"R",104,"['romance', 'drama', 'comedy']","US",6.8,6549,6.276,6.5
"My First Errand","SHOW",1991,"TV-G",18,"['documentation', 'family', 'reality']","JP",NA,NA,7.73,7.8
"The Devil's Own","MOVIE",1997,"R",107,"['crime', 'thriller', 'drama', 'action', 'european']","US",6.2,65323,12.863,6.1
"Cardcaptor Sakura","SHOW",1998,"TV-Y7",25,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']","JP",8,5008,35.757,8.7
"Spawn","MOVIE",1997,"PG-13",96,"['scifi', 'action', 'drama', 'horror']","US",5.2,68184,16.989,5.343
"Adventures of Sonic the Hedgehog","SHOW",1993,"TV-Y7",22,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']","US",6.2,3902,13.313,6.3
"Croupier","MOVIE",1998,"R",94,"['drama', 'european', 'crime']","GLOBAL",7,21599,8.381,6.8
"Girlfriends","SHOW",2000,"TV-PG",21,"['drama', 'comedy']","US",7.2,4528,12.163,7.7
"The Next Karate Kid","MOVIE",1994,"PG",107,"['action', 'drama', 'family', 'sport', 'romance']","US",4.5,30422,20.185,5.318
"Geronimo: An American Legend","MOVIE",1993,"PG-13",115,"['western', 'history', 'drama']","US",6.5,11709,8.136,6.3
"Double Team","MOVIE",1997,"R",93,"['action', 'scifi', 'comedy', 'thriller']","GLOBAL",4.8,34396,14.599,5.1
"Heavy","MOVIE",1995,"R",105,"['drama', 'romance']","US",6.8,5047,3.308,6.8
"The Players Club","MOVIE",1998,"R",104,"['comedy', 'drama']","US",5.9,6676,9.25,6.3
"The Parkers","SHOW",1999,"TV-PG",19,"['comedy']","US",6.8,2377,5.745,8.1
"Sister, Sister","SHOW",1994,"TV-PG",22,"['comedy', 'drama', 'family']","US",6.2,12657,21.489,7.5
"Moesha","SHOW",1996,"TV-PG",21,"['drama', 'comedy', 'family']","US",5.8,3747,10.901,7
"Heartbreak High","SHOW",1994,"TV-MA",45,"['drama', 'romance', 'comedy']","AU",7.8,3139,7.222,7.3
"Oggy and the Cockroaches","SHOW",1999,"TV-Y7",9,"['animation', 'comedy', 'family', 'action', 'european']","FR",7.4,4281,40.189,7.5
"Kuch Kuch Hota Hai","MOVIE",1998,"G",185,"['romance', 'comedy', 'drama']","IN",7.6,52036,12.35,7.7
"Children of God","MOVIE",1994,NA,63,"['documentation']","GB",6.3,612,0.685,6.4
"Knight Rider 2000","MOVIE",1991,"G",91,"['action', 'scifi']","US",4.5,3207,7.945,5.1
"Okupas","SHOW",2000,"TV-MA",40,"['drama', 'crime']","AR",9,2399,8.565,8.8
"Hum Aapke Hain Koun..!","MOVIE",1994,NA,206,"['drama', 'romance', 'comedy']","IN",7.5,21123,6.314,6.5
"Dil Se..","MOVIE",1998,"PG-13",163,"['drama', 'romance']","IN",7.5,28586,7.811,6.8
"Jerry Seinfeld: I'm Telling You for the Last Time","MOVIE",1998,"G",75,"['comedy', 'documentation']","US",7.9,5879,5.822,7.6
"H","SHOW",1998,"TV-MA",25,"['comedy']","FR",7.4,1727,7.905,7.6
"Sankofa","MOVIE",1993,NA,124,"['drama', 'european']","GLOBAL",7,692,1.858,6.5
"Herod's Law","MOVIE",1999,"R",123,"['comedy', 'crime', 'thriller']","MX",7.8,6035,10.506,7.9
"Wild Tango","MOVIE",1993,"R",124,"['drama', 'music', 'romance']","GLOBAL",6.7,1584,5.092,6.1
"The Last Days","MOVIE",1998,"PG-13",87,"['drama', 'history', 'war', 'documentation']","US",7.9,4378,3.766,7.8
"Sam Kinison: Live in Vegas","MOVIE",1991,NA,72,"['comedy', 'music', 'documentation']","US",6.6,276,0.656,6
"Bill Hicks: Revelations","MOVIE",1993,NA,74,"['comedy', 'documentation']","GB",8.5,3098,3.784,8.1
"Bombay","MOVIE",1995,NA,141,"['drama', 'romance']","IN",8.1,12629,4.99,7.2
"Escalona","SHOW",1991,"TV-MA",44,"['drama']","CO",NA,NA,7.352,7.6
"Mann","MOVIE",1999,NA,174,"['drama', 'romance']","IN",6.1,5451,2.595,6.7
"Soldier","MOVIE",1998,NA,156,"['thriller', 'action', 'drama', 'romance']","IN",6.2,3063,3.623,5.7
"Sam Kinison: Family Entertainment Hour","MOVIE",1991,NA,49,"['comedy']","US",NA,NA,1.84,6.1
"Sinbad: Son of a Preacher Man","MOVIE",1996,NA,56,"['comedy', 'documentation']","US",6.8,116,1.536,5.8
"Damini","MOVIE",1993,NA,175,"['drama', 'crime']","IN",7.8,3523,3.328,7.3
"Hum Saath Saath Hain","MOVIE",1999,"G",177,"['romance', 'family', 'fantasy', 'drama']","IN",6.2,8552,7.865,6
"Destiny","MOVIE",1997,NA,136,"['drama', 'history', 'comedy', 'romance']","GLOBAL",7.1,2857,3.287,6.7
"Chronicle of a Disappearance","MOVIE",1996,NA,88,"['drama']","GLOBAL",6.9,733,2.099,6.7
"Muthu","MOVIE",1995,"G",165,"['comedy', 'drama', 'action', 'romance']","IN",7.6,3056,3.576,6.9
"Jeans","MOVIE",1998,NA,175,"['comedy', 'drama', 'romance']","IN",6.4,3604,3.393,6.5
"Monty Python: Live at Aspen","MOVIE",1998,NA,58,"['comedy', 'documentation']","GLOBAL",7.8,1096,2.681,6.9
"Minsara Kanavu","MOVIE",1997,"G",145,"['comedy', 'romance', 'drama']","IN",6.7,1226,2.316,6.6
"Duplicate","MOVIE",1998,"PG",165,"['comedy', 'action', 'crime', 'thriller']","IN",5.5,7618,4.112,6
"Avvai Shanmugi","MOVIE",1996,"PG-13",160,"['drama', 'comedy']","IN",7.9,2586,2.828,7.5
"Anjaam","MOVIE",1994,NA,137,"['romance', 'crime', 'thriller', 'drama']","IN",6.6,6532,3.806,7.1
"A Triumph of the Heart: The Ricky Bell Story","MOVIE",1991,NA,100,"['drama', 'sport']","US",7.2,250,1.533,5.1
"Phir Bhi Dil Hai Hindustani","MOVIE",2000,"PG-13",160,"['comedy', 'romance', 'drama']","IN",6.1,7610,7.778,6.6
"Children of Shatila","MOVIE",1999,NA,50,"['documentation', 'history']","LB",8.1,78,1.635,6.7
"Bill Hicks: Relentless","MOVIE",1992,NA,61,"['comedy']","GB",NA,NA,3.822,7.8
"Tim Allen: Rewires America","MOVIE",1991,"PG",30,"['comedy', 'documentation']","US",6,198,2.297,7
"Bill Hicks: One Night Stand","MOVIE",1991,"NC-17",30,"['comedy']","US",NA,NA,1.08,7.5
"West Beirut","MOVIE",1998,"PG-13",105,"['romance', 'drama', 'comedy', 'war', 'european']","GLOBAL",7.6,4221,3.308,7.3
"Govindha Govindha","MOVIE",1993,NA,145,"['drama', 'action', 'crime']","IN",6.6,356,1.248,4
"Out of Life","MOVIE",1991,NA,97,"['drama', 'war', 'crime', 'european']","GLOBAL",6.9,376,2.481,6.2
"Gumrah","MOVIE",1993,NA,149,"['drama', 'action', 'crime', 'thriller']","IN",6.1,795,1.763,6.7
"Sinbad: Nothin' but the Funk","MOVIE",1998,NA,56,"['comedy', 'documentation']","US",6.3,65,1.83,5.2
"Sinbad: Afros and Bellbottoms","MOVIE",1993,"PG-13",60,"['comedy', 'documentation']","US",7.8,172,3.793,5.5
"Fiza","MOVIE",2000,NA,170,"['romance', 'action', 'crime', 'drama', 'thriller']","IN",6,4213,2.835,6.3
"Before the Flying Circus","MOVIE",2000,NA,55,"['comedy', 'documentation']","GB",7.3,168,1.444,8.5
"The Other","MOVIE",1999,NA,106,"['romance', 'european', 'drama']","GLOBAL",5.9,997,1.12,5.9
"Yodha","MOVIE",1991,NA,142,"['action', 'drama']","IN",4.5,198,1.554,5
"The Emigrant","MOVIE",1994,NA,129,"['drama']","GLOBAL",6.5,1015,1.4,6
"Hello Brother","MOVIE",1999,NA,131,"['comedy', 'romance', 'fantasy', 'action']","IN",4.6,4262,4.338,5.3
"Dushmani","MOVIE",1995,NA,156,"['romance', 'action', 'drama']","IN",5,249,2.045,7.5
"Nightmare in Columbia County","MOVIE",1991,NA,100,"['drama', 'thriller', 'crime']","US",5.5,345,2.713,6
"Have You Ever Seen Fireflies? - Theatre Play","MOVIE",1999,NA,118,"['drama']","TR",NA,NA,1.396,7.6
"Shikari","MOVIE",1991,NA,162,"['drama', 'action']","GLOBAL",5.8,68,1.323,5
"Breaking Bad","SHOW",2008,"TV-MA",48,"['drama', 'crime', 'thriller']","US",9.5,1775990,353.848,8.79
"Top Gear","SHOW",2002,"TV-PG",58,"['comedy', 'reality', 'european', 'music']","GB",8.7,117240,45.549,7.4
"The Walking Dead","SHOW",2010,"TV-MA",46,"['action', 'drama', 'scifi', 'horror', 'thriller']","US",8.2,956604,597.277,8.1
"Supernatural","SHOW",2005,"TV-14",45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']","US",8.4,434081,388.093,8.278
"The Mist","MOVIE",2007,"R",126,"['horror', 'scifi', 'thriller']","US",7.1,305346,37.369,6.9
"Mean Girls","MOVIE",2004,"PG-13",97,"['comedy']","GLOBAL",7.1,375975,57.235,7.2
"The Great British Baking Show","SHOW",2010,"TV-PG",57,"['reality', 'european']","GB",8.6,9856,5.581,7.7
"30 Rock","SHOW",2006,"TV-14",25,"['comedy', 'sport']","US",8.3,122698,48.88,7.4
"Borgen","SHOW",2010,"TV-MA",58,"['drama', 'european']","DK",8.5,25485,51.118,8.1
"Community","SHOW",2009,"TV-PG",23,"['comedy']","US",8.5,257221,42.357,8
"Catch Me If You Can","MOVIE",2002,"PG-13",141,"['drama', 'crime']","US",8.1,952602,72.321,8
"Grey's Anatomy","SHOW",2005,"TV-14",49,"['drama', 'romance']","US",7.6,299165,803.786,8.252
"Arrested Development","SHOW",2003,"TV-MA",28,"['comedy']","US",8.7,300445,30.131,8.043
"Heartland","SHOW",2007,"TV-PG",44,"['drama', 'family']","CA",8.4,16337,74.638,8.3
"The Staircase","SHOW",2004,"TV-MA",49,"['crime', 'documentation', 'drama']","FR",7.8,21531,10.922,7.7
"Old School","MOVIE",2003,"R",88,"['comedy', 'european']","US",7,229171,17.131,6.577
"NCIS","SHOW",2003,"TV-14",43,"['crime', 'action', 'thriller', 'drama', 'comedy']","US",7.8,143846,251.622,7.6
"Avatar: The Last Airbender","SHOW",2005,"TV-Y7",24,"['scifi', 'animation', 'action', 'family', 'fantasy']","US",9.3,303666,56.915,8.7
"Anchorman: The Legend of Ron Burgundy","MOVIE",2004,"PG-13",95,"['comedy']","US",7.1,353118,20.606,6.7
"Friday Night Lights","SHOW",2006,"TV-14",43,"['drama', 'sport']","US",8.7,65199,19.681,8.1
"The IT Crowd","SHOW",2006,"TV-14",25,"['comedy', 'european']","GB",8.5,149586,31.031,8.108
"Inception","MOVIE",2010,"PG-13",148,"['action', 'scifi', 'music', 'thriller']","GLOBAL",8.8,2294231,108.284,8.4
"The Spectacular Spider-Man","SHOW",2008,"TV-Y7",22,"['action', 'animation', 'family', 'scifi', 'comedy']","US",8.3,14996,41.509,8.705
"The Departed","MOVIE",2006,"R",151,"['drama', 'thriller', 'crime', 'action']","US",8.5,1296244,33.795,8.2
