"title","type","release_year","age_certification","runtime","genres","production_countries","imdb_score","imdb_votes","tmdb_popularity","tmdb_score"
"The Paper Tigers","MOVIE",2020,"PG-13",110,"['comedy', 'action']","US",6.3,4341,4.665,6.9
"The Untamed","SHOW",2019,"TV-14",44,"['action', 'drama', 'thriller', 'romance', 'comedy', 'fantasy', 'horror']","CN",8.8,6181,30.895,8.5
"Between Two Ferns: The Movie","MOVIE",2019,NA,82,"['comedy']","US",6.1,32036,12.486,6
"Too Hot to Handle","SHOW",2020,"TV-MA",42,"['reality', 'romance']","US",4.6,12230,20.633,6.8
"The Game Changers","MOVIE",2019,NA,88,"['documentation']","US",7.8,19942,11.211,7.4
"Dick Johnson Is Dead","MOVIE",2020,"PG-13",89,"['documentation', 'drama']","US",7.4,6511,7.932,7.4
"Velvet Buzzsaw","MOVIE",2019,"R",113,"['thriller', 'horror', 'comedy']","US",5.7,60629,16.079,5.3
"Another Life","SHOW",2019,"TV-MA",42,"['scifi', 'drama', 'thriller']","US",5.2,35536,56.037,6.1
"Love & Anarchy","SHOW",2020,"TV-MA",31,"['comedy', 'drama', 'romance']","SE",7.4,7896,13.59,7.3
"L.A.'s Finest","SHOW",2019,"TV-14",47,"['crime', 'drama', 'action', 'comedy', 'thriller']","US",6.1,7000,21.788,7.3
"Greatest Events of WWII in Colour","SHOW",2019,NA,50,"['documentation', 'history', 'war']","GB",8.7,8622,7.929,8.6
"Tiger King","SHOW",2020,"TV-MA",44,"['documentation', 'crime']","US",7.5,77790,9.63,7
"The Old Ways","MOVIE",2020,"R",90,"['fantasy', 'horror', 'thriller', 'drama']","US",5.4,6035,9.583,7.2
"Undercover","SHOW",2019,"TV-MA",49,"['drama', 'crime', 'thriller']","BE",7.8,17005,17.659,8
"The Art of Incarceration","MOVIE",2019,NA,90,"['documentation']","AU",8.6,25,0.664,NA
"The Laundromat","MOVIE",2019,"R",96,"['drama', 'history', 'comedy', 'crime']","US",6.3,49391,10.319,6
"Pokémon the Movie: Secrets of the Jungle","MOVIE",2020,NA,99,"['family', 'fantasy', 'animation', 'action', 'scifi']","JP",6.4,1942,110.86,7.027
"Project Power","MOVIE",2020,"R",113,"['crime', 'scifi', 'action', 'thriller']","US",6,86407,22.48,6.5
"In the Tall Grass","MOVIE",2019,NA,102,"['drama', 'thriller', 'scifi', 'horror']","GLOBAL",5.4,55276,15.188,5.5
"Criminal: UK","SHOW",2019,"TV-MA",44,"['crime', 'drama', 'thriller']","GB",7.6,18213,12.302,7.429
"#Alive","MOVIE",2020,NA,98,"['horror', 'thriller', 'action', 'drama']","KR",6.3,38313,58.967,7.3
"Tremors: Shrieker Island","MOVIE",2020,"PG-13",103,"['action', 'horror']","US",NA,NA,21.871,6.3
"Traitors","SHOW",2019,"TV-MA",51,"['war', 'drama', 'thriller', 'history']","GB",6.6,3130,4.526,6.8
"Merli: Dare to Know","SHOW",2019,"TV-MA",48,"['comedy', 'drama']","ES",7.6,1868,52.228,8.4
"Backstreet Rookie","SHOW",2020,"TV-14",62,"['drama', 'comedy', 'romance', 'action']","KR",7.4,2216,29.819,7.5
"Dare Me","SHOW",2019,"TV-MA",43,"['thriller', 'crime', 'drama', 'reality']","US",6.6,5254,15.001,7.9
"The English Game","SHOW",2020,"TV-14",48,"['drama']","GB",NA,NA,13.746,7.7
"Hotel Del Luna","SHOW",2019,"TV-14",80,"['romance', 'action', 'comedy', 'drama', 'fantasy', 'horror', 'scifi']","KR",8.2,8405,32.042,8.7
"Tread","MOVIE",2020,NA,88,"['crime', 'documentation']","US",7.1,3074,2.637,6.7
"Paddleton","MOVIE",2019,"R",89,"['drama', 'comedy']","US",7.1,13791,7.339,7
"Wu Assassins","SHOW",2019,"TV-MA",44,"['scifi', 'action', 'crime', 'drama', 'fantasy']","US",6.4,12921,15.475,7.3
"Lost Girls","MOVIE",2020,"R",95,"['thriller', 'drama', 'crime']","US",6.1,21588,12.547,6.1
"Fyre","MOVIE",2019,NA,98,"['documentation', 'crime', 'music']","US",7.2,45728,9.805,6.9
"The Gentlemen's League","SHOW",2019,"TV-G",98,"['reality']","KR",NA,NA,10.495,8
"The Wolf's Call","MOVIE",2019,NA,115,"['thriller', 'action', 'scifi', 'war', 'drama', 'european']","FR",6.9,17468,15.545,7.6
"To the Lake","SHOW",2019,"TV-MA",51,"['thriller', 'drama', 'scifi']","RU",7.2,12713,13.757,7.5
