"genres","word","sentiment","n"
"Comedy","funny","negative",20629
"Drama","love","positive",15024
"Action & Adventure","fun","positive",12846
"Comedy","fun","positive",11786
"Drama","funny","negative",9545
"Drama","plot","negative",9503
"Drama","fun","positive",9240
"Drama","entertaining","positive",8894
"Comedy","love","positive",8590
"Drama","hard","negative",8552
"Drama","bad","negative",8524
"Comedy","humor","positive",7498
"Science Fiction & Fantasy","fun","positive",7365
"Comedy","romantic","positive",7114
"Romance","love","positive",7062
"Comedy","bad","negative",6904
"Drama","worth","positive",6824
"Action & Adventure","entertaining","positive",6765
"Action & Adventure","plot","negative",6627
"Action & Adventure","bad","negative",6529
"Comedy","entertaining","positive",6427
"Drama","strong","positive",6321
"Drama","romantic","positive",6072
"Romance","romantic","positive",6057
"Mystery & Suspense","fun","positive",6031
"Drama","dark","negative",5870
"Mystery & Suspense","plot","negative",5847
"Comedy","plot","negative",5561
"Drama","beautiful","positive",5548
"Drama","powerful","positive",5523
"Drama","pretty","positive",5298
"Comedy","hard","negative",5119
"Drama","classic","positive",5117
"Drama","fine","positive",5023
"Drama","humor","positive",4858
"Mystery & Suspense","bad","negative",4847
"Action & Adventure","funny","negative",4760
"Comedy","sweet","positive",4529
"Drama","perfect","positive",4480
"Mystery & Suspense","entertaining","positive",4353
"Action & Adventure","fans","positive",4340
"Drama","engaging","positive",4310
"Drama","solid","positive",4298
"Drama","fans","positive",4261
"Action & Adventure","hard","negative",4210
"Drama","fascinating","positive",4193
"Drama","smart","positive",4115
"Drama","enjoyable","positive",4050
"Drama","beautifully","positive",3941
"Drama","easy","positive",3919
"Comedy","pretty","positive",3833
"Drama","top","positive",3817
"Horror","fun","positive",3810
"Drama","slow","negative",3808
"Drama","modern","positive",3794
"Comedy","charming","positive",3770
"Comedy","hilarious","positive",3708
"Comedy","charm","positive",3701
"Science Fiction & Fantasy","entertaining","positive",3679
"Comedy","enjoyable","positive",3647
"Action & Adventure","love","positive",3624
"Drama","satisfying","positive",3607
"Kids & Family","fun","positive",3596
"Drama","crime","negative",3588
"Drama","sweet","positive",3564
"Comedy","worth","positive",3542
"Drama","terrific","positive",3502
"Comedy","smart","positive",3494
"Drama","lead","positive",3477
"Science Fiction & Fantasy","plot","negative",3468
"Drama","lost","negative",3449
"Science Fiction & Fantasy","bad","negative",3429
"Drama","brilliant","positive",3364
"Drama","complex","negative",3362
"Drama","impressive","positive",3345
"Drama","tension","negative",3310
"Action & Adventure","pretty","positive",3273
"Comedy","amusing","positive",3268
"Comedy","clever","positive",3236
"Mystery & Suspense","hard","negative",3225
"Drama","beauty","positive",3218
"Action & Adventure","humor","positive",3164
"Drama","death","negative",3155
"Action & Adventure","classic","positive",3147
"Science Fiction & Fantasy","fans","positive",3131
"Drama","dull","negative",3129
"Comedy","fans","positive",3110
"Horror","scary","negative",3104
"Drama","intriguing","positive",3101
"Action & Adventure","worth","positive",3069
"Mystery & Suspense","dark","negative",3038
"Drama","lacks","negative",3027
"Drama","effective","positive",3022
"Drama","excellent","positive",3004
"Drama","mystery","negative",2987
"Action & Adventure","exciting","positive",2980
"Comedy","perfect","positive",2974
"Comedy","classic","positive",2967
"Drama","exciting","positive",2953
"Science Fiction & Fantasy","love","positive",2952
"Comedy","silly","negative",2923
"Drama","fails","negative",2921
"Drama","proves","positive",2884
"Drama","rich","positive",2866
"Drama","masterpiece","positive",2857
"Drama","talent","positive",2844
"Action & Adventure","dark","negative",2839
"Romance","funny","negative",2833
"Drama","fresh","positive",2826
"Drama","charming","positive",2825
"Action & Adventure","enjoyable","positive",2822
"Drama","intelligent","positive",2796
"Drama","worthy","positive",2795
"Art House & International","love","positive",2772
"Drama","wonderful","positive",2757
"Mystery & Suspense","mystery","negative",2735
"Science Fiction & Fantasy","funny","negative",2709
"Drama","enjoy","positive",2678
"Mystery & Suspense","worth","positive",2678
"Drama","charm","positive",2668
"Drama","lack","negative",2642
"Drama","clever","positive",2632
"Animation","fun","positive",2627
"Action & Adventure","fast","positive",2582
"Comedy","easy","positive",2578
"Drama","fiction","negative",2573
"Drama","worst","negative",2543
"Documentary","fascinating","positive",2542
"Action & Adventure","top","positive",2510
"Drama","wrong","negative",2487
"Action & Adventure","marvel","positive",2482
"Comedy","enjoy","positive",2476
"Drama","leads","positive",2474
"Mystery & Suspense","love","positive",2461
"Mystery & Suspense","tension","negative",2461
"Drama","hero","positive",2452
"Comedy","dark","negative",2438
"Drama","perfectly","positive",2409
"Action & Adventure","silly","negative",2405
"Drama","nice","positive",2399
"Drama","difficult","negative",2398
"Horror","bad","negative",2380
"Mystery & Suspense","fans","positive",2350
"Drama","mess","negative",2348
"Drama","silly","negative",2344
"Drama","stunning","positive",2341
"Comedy","fine","positive",2329
"Kids & Family","funny","negative",2310
"Drama","violent","negative",2308
"Science Fiction & Fantasy","classic","positive",2301
"Mystery & Suspense","funny","negative",2292
"Drama","remarkable","positive",2287
"Science Fiction & Fantasy","dark","negative",2287
"Comedy","top","positive",2285
"Action & Adventure","solid","positive",2281
"Mystery & Suspense","crime","negative",2278
"Comedy","joke","negative",2275
"Comedy","fresh","positive",2268
"Mystery & Suspense","pretty","positive",2262
"Science Fiction & Fantasy","marvel","positive",2253
"Comedy","strong","positive",2247
"Drama","quiet","positive",2247
"Drama","intense","negative",2243
"Action & Adventure","hero","positive",2237
"Comedy","witty","positive",2237
"Mystery & Suspense","classic","positive",2230
"Action & Adventure","strong","positive",2213
"Drama","superb","positive",2213
"Drama","fast","positive",2211
"Action & Adventure","enjoy","positive",2205
"Action & Adventure","perfect","positive",2203
"Science Fiction & Fantasy","fiction","negative",2198
"Drama","boring","negative",2196
"Drama","genuine","positive",2192
"Drama","sharp","positive",2191
"Drama","thrilling","positive",2181
"Comedy","engaging","positive",2175
"Drama","sad","negative",2159
"Mystery & Suspense","strong","positive",2157
"Drama","tragedy","negative",2156
"Drama","magic","positive",2142
"Drama","memorable","positive",2141
"Drama","issues","negative",2130
"Drama","honest","positive",2117
"Drama","twists","negative",2101
"Drama","impossible","negative",2082
"Action & Adventure","blockbuster","positive",2076
"Comedy","nice","positive",2069
"Drama","cold","negative",2068
"Drama","poignant","positive",2068
"Action & Adventure","violent","negative",2053
"Drama","falls","negative",2052
"Mystery & Suspense","scary","negative",2048
"Horror","fans","positive",2039
"Science Fiction & Fantasy","hard","negative",2029
"Mystery & Suspense","solid","positive",2023
"Drama","pure","positive",2019
"Drama","dead","negative",2015
"Drama","strange","negative",2014
"Comedy","worst","negative",2004
"Drama","warm","positive",2002
"Drama","ambitious","positive",2000
"Drama","thoughtful","positive",1998
"Drama","pleasure","positive",1992
"Drama","passion","positive",1964
"Drama","tough","positive",1957
"Romance","fun","positive",1955
"Animation","funny","negative",1945
"Mystery & Suspense","smart","positive",1945
"Science Fiction & Fantasy","pretty","positive",1936
"Action & Adventure","satisfying","positive",1934
"Drama","decent","positive",1927
"Drama","utterly","negative",1922
"Comedy","wonderful","positive",1902
"Drama","appeal","positive",1901
"Mystery & Suspense","effective","positive",1900
"Science Fiction & Fantasy","humor","positive",1895
"Comedy","modern","positive",1894
"Action & Adventure","worst","negative",1892
"Comedy","warm","positive",1890
"Drama","grace","positive",1889
"Drama","gorgeous","positive",1881
"Drama","succeeds","positive",1879
"Drama","lovely","positive",1873
"Action & Adventure","smart","positive",1871
"Drama","extraordinary","positive",1868
"Mystery & Suspense","top","positive",1865
"Horror","plot","negative",1862
"Art House & International","funny","negative",1856
"Drama","uneven","negative",1848
"Romance","plot","negative",1848
"Drama","winning","positive",1845
"Horror","dark","negative",1842
"Science Fiction & Fantasy","worth","positive",1841
"Drama","wild","negative",1836
"Drama","cool","positive",1826
"Comedy","sharp","positive",1820
"Action & Adventure","fine","positive",1818
"Comedy","cute","positive",1818
"Drama","free","positive",1811
"Comedy","talent","positive",1805
"Drama","engrossing","positive",1796
"Action & Adventure","impressive","positive",1789
"Action & Adventure","thrilling","positive",1786
"Mystery & Suspense","clever","positive",1784
"Mystery & Suspense","twists","negative",1777
"Action & Adventure","dull","negative",1774
"Drama","haunting","negative",1774
"Mystery & Suspense","slow","negative",1774
"Drama","amazing","positive",1772
"Comedy","lost","negative",1770
"Drama","talented","positive",1763
"Comedy","humour","positive",1761
"Drama","hell","negative",1754
"Drama","disturbing","negative",1753
"Comedy","lacks","negative",1743
"Comedy","terrific","positive",1741
"Action & Adventure","lost","negative",1740
"Comedy","dead","negative",1736
"Action & Adventure","lacks","negative",1734
"Drama","flawed","negative",1731
"Drama","miss","negative",1727
"Drama","provocative","negative",1721
"Drama","faith","positive",1716
"Drama","tense","negative",1715
"Horror","entertaining","positive",1715
"Mystery & Suspense","intriguing","positive",1715
"Science Fiction & Fantasy","exciting","positive",1702
"Drama","joy","positive",1699
"Drama","witty","positive",1691
"Drama","happy","positive",1690
"Comedy","pleasant","positive",1688
"Action & Adventure","mess","negative",1679
"Drama","fall","negative",1678
"Comedy","proves","positive",1675
"Action & Adventure","cool","positive",1670
"Drama","intimate","positive",1665
"Documentary","entertaining","positive",1664
"Drama","flaws","negative",1662
"Comedy","delightful","positive",1661
"Science Fiction & Fantasy","enjoyable","positive",1660
"Comedy","solid","positive",1657
"Drama","heartfelt","positive",1656
"Comedy","mess","negative",1655
"Action & Adventure","clever","positive",1653
"Mystery & Suspense","satisfying","positive",1653
"Romance","bad","negative",1651
"Comedy","leads","positive",1648
"Action & Adventure","engaging","positive",1646
"Drama","twist","negative",1645
"Comedy","magic","positive",1641
"Drama","punch","negative",1640
"Action & Adventure","beautiful","positive",1639
"Drama","hilarious","positive",1639
"Action & Adventure","charm","positive",1635
"Kids & Family","entertaining","positive",1635
"Science Fiction & Fantasy","magic","positive",1635
"Comedy","appeal","positive",1633
"Horror","creepy","negative",1631
"Drama","master","positive",1630
"Drama","convincing","positive",1629
"Drama","gritty","negative",1629
"Horror","funny","negative",1628
"Mystery & Suspense","fine","positive",1622
"Comedy","happy","positive",1621
"Drama","brutal","negative",1616
"Mystery & Suspense","enjoyable","positive",1616
"Mystery & Suspense","silly","negative",1614
"Drama","finest","positive",1613
"Mystery & Suspense","thrills","positive",1613
"Drama","stylish","positive",1611
"Horror","zombie","negative",1609
"Comedy","wrong","negative",1608
"Action & Adventure","dumb","negative",1604
"Science Fiction & Fantasy","blockbuster","positive",1598
"Comedy","farce","negative",1595
"Drama","bland","negative",1595
"Horror","classic","positive",1595
"Drama","amusing","positive",1592
"Mystery & Suspense","perfect","positive",1581
"Drama","unexpected","negative",1579
"Drama","worse","negative",1577
"Mystery & Suspense","humor","positive",1573
"Comedy","genuine","positive",1568
"Comedy","satisfying","positive",1561
"Comedy","loud","negative",1559
"Drama","doubt","negative",1559
"Mystery & Suspense","exciting","positive",1559
"Drama","success","positive",1557
"Horror","dead","negative",1549
"Comedy","brilliant","positive",1545
"Comedy","lack","negative",1545
"Comedy","fast","positive",1542
"Comedy","beautiful","positive",1540
"Drama","intelligence","positive",1540
"Drama","grand","positive",1539
"Comedy","lead","positive",1532
"Action & Adventure","thrills","positive",1530
"Drama","revenge","negative",1529
"Kids & Family","classic","positive",1529
"Action & Adventure","fresh","positive",1525
"Mystery & Suspense","fast","positive",1524
"Drama","odd","negative",1523
"Comedy","perfectly","positive",1522
"Drama","thrills","positive",1514
"Drama","triumph","positive",1510
"Comedy","fails","negative",1509
"Drama","earnest","positive",1508
"Drama","tragic","negative",1503
"Action & Adventure","magic","positive",1497
"Kids & Family","love","positive",1490
"Art House & International","plot","negative",1484
"Drama","creative","positive",1480
"Drama","profound","positive",1480
"Action & Adventure","modern","positive",1475
"Action & Adventure","boring","negative",1473
"Action & Adventure","spectacular","positive",1473
"Drama","fairly","positive",1469
"Comedy","wild","negative",1467
"Mystery & Suspense","creepy","negative",1466
"Art House & International","beautiful","positive",1465
"Mystery & Suspense","violent","negative",1465
"Drama","appealing","positive",1462
"Comedy","miss","negative",1459
"Drama","contrived","negative",1459
"Drama","disappointing","negative",1452
"Drama","fantastic","positive",1451
"Romance","sweet","positive",1444
"Mystery & Suspense","dull","negative",1443
"Romance","entertaining","positive",1442
"Kids & Family","humor","positive",1439
"Documentary","love","positive",1438
"Comedy","delight","positive",1437
"Drama","leading","positive",1434
"Drama","lies","negative",1433
"Drama","brilliantly","positive",1430
"Action & Adventure","crime","negative",1426
"Classics","classic","positive",1426
"Comedy","dumb","negative",1426
"Action & Adventure","easy","positive",1424
"Romance","hard","negative",1424
"Drama","authentic","positive",1420
"Action & Adventure","fiction","negative",1418
"Drama","supporting","positive",1418
"Drama","spectacular","positive",1416
"Drama","pleasant","positive",1413
"Mystery & Suspense","modern","positive",1413
"Science Fiction & Fantasy","perfect","positive",1407
"Drama","loss","negative",1404
"Action & Adventure","dead","negative",1403
"Drama","humour","positive",1403
"Action & Adventure","pure","positive",1394
"Drama","pain","negative",1393
"Action & Adventure","lack","negative",1387
"Drama","ridiculous","negative",1386
"Comedy","stupid","negative",1383
"Drama","realistic","positive",1380
"Drama","wonderfully","positive",1379
"Comedy","winning","positive",1377
"Drama","achievement","positive",1377
"Action & Adventure","fails","negative",1375
"Mystery & Suspense","tense","negative",1373
"Mystery & Suspense","twist","negative",1370
"Drama","successful","positive",1365
"Drama","terrible","negative",1364
"Comedy","likable","positive",1362
"Horror","effective","positive",1358
"Science Fiction & Fantasy","silly","negative",1357
"Comedy","appealing","positive",1356
"Drama","scary","negative",1350
"Comedy","worse","negative",1348
"Romance","charming","positive",1348
"Comedy","pleasure","positive",1345
"Drama","slick","positive",1338
"Action & Adventure","impossible","negative",1337
"Kids & Family","plot","negative",1337
"Comedy","uneven","negative",1335
"Action & Adventure","death","negative",1332
"Art House & International","hard","negative",1329
"Drama","lacking","negative",1327
"Musical & Performing Arts","love","positive",1322
"Mystery & Suspense","death","negative",1318
"Drama","evil","negative",1317
"Drama","inspiring","positive",1317
"Drama","fear","negative",1316
"Science Fiction & Fantasy","beautiful","positive",1315
"Drama","creepy","negative",1310
"Comedy","dull","negative",1309
"Drama","grim","negative",1308
"Comedy","decent","positive",1307
"Action & Adventure","wild","negative",1303
"Mystery & Suspense","engaging","positive",1302
"Mystery & Suspense","revenge","negative",1302
"Action & Adventure","proves","positive",1299
"Drama","shame","negative",1299
"Special Interest","fascinating","positive",1299
"Drama","murder","negative",1295
"Mystery & Suspense","dead","negative",1294
"Mystery & Suspense","fascinating","positive",1294
"Horror","pretty","positive",1293
"Romance","pretty","positive",1290
"Mystery & Suspense","thrilling","positive",1287
"Drama","disaster","negative",1284
"Action & Adventure","terrific","positive",1281
"Science Fiction & Fantasy","enjoy","positive",1279
"Drama","tender","positive",1277
"Kids & Family","bad","negative",1273
"Action & Adventure","decent","positive",1272
"Mystery & Suspense","fiction","negative",1272
"Science Fiction & Fantasy","satisfying","positive",1272
"Action & Adventure","disaster","negative",1271
"Science Fiction & Fantasy","strong","positive",1271
"Drama","loses","negative",1270
"Action & Adventure","slow","negative",1269
"Art House & International","fun","positive",1267
"Drama","tedious","negative",1267
"Mystery & Suspense","terrific","positive",1265
"Comedy","falls","negative",1264
"Comedy","free","positive",1262
"Romance","beautiful","positive",1262
"Action & Adventure","loud","negative",1260
"Action & Adventure","super","positive",1260
"Drama","awful","negative",1260
"Drama","melodramatic","negative",1260
"Mystery & Suspense","powerful","positive",1260
"Drama","striking","positive",1259
"Science Fiction & Fantasy","monster","negative",1259
"Romance","classic","positive",1258
"Mystery & Suspense","worst","negative",1257
"Comedy","bland","negative",1254
"Comedy","talented","positive",1254
"Drama","complicated","negative",1253
"Mystery & Suspense","lost","negative",1252
"Mystery & Suspense","impressive","positive",1251
"Mystery & Suspense","killer","negative",1241
"Science Fiction & Fantasy","smart","positive",1240
"Action & Adventure","worthy","positive",1232
"Comedy","endearing","positive",1230
"Mystery & Suspense","fails","negative",1229
"Drama","captivating","positive",1227
"Drama","gentle","positive",1225
"Drama","weird","negative",1224
"Action & Adventure","tension","negative",1223
"Action & Adventure","ridiculous","negative",1221
"Mystery & Suspense","cool","positive",1221
"Drama","delight","positive",1219
"Drama","heartbreaking","negative",1219
"Drama","refreshing","positive",1219
"Comedy","rich","positive",1218
"Drama","hot","positive",1215
"Action & Adventure","stunning","positive",1214
"Drama","frustrating","negative",1214
"Mystery & Suspense","lacks","negative",1213
"Action & Adventure","fantastic","positive",1210
"Comedy","worthy","positive",1209
"Drama","bloody","negative",1208
"Drama","promise","positive",1208
"Drama","loud","negative",1207
"Mystery & Suspense","enjoy","positive",1204
"Mystery & Suspense","mess","negative",1204
"Animation","love","positive",1203
"Drama","believable","positive",1203
"Drama","break","negative",1201
"Mystery & Suspense","intelligent","positive",1201
"Action & Adventure","wrong","negative",1199
"Science Fiction & Fantasy","impressive","positive",1198
"Mystery & Suspense","murder","negative",1195
"Drama","killer","negative",1194
"Action & Adventure","worse","negative",1193
"Comedy","odd","negative",1193
"Drama","genius","positive",1193
"Science Fiction & Fantasy","solid","positive",1193
"Action & Adventure","revenge","negative",1191
"Animation","entertaining","positive",1188
"Comedy","gross","negative",1187
"Drama","sensitive","positive",1187
"Comedy","death","negative",1185
"Drama","win","positive",1183
"Drama","bleak","negative",1182
"Comedy","sad","negative",1178
"Mystery & Suspense","brilliant","positive",1178
"Mystery & Suspense","proves","positive",1176
"Drama","mature","positive",1175
"Mystery & Suspense","stylish","positive",1174
"Comedy","utterly","negative",1173
"Drama","vivid","positive",1173
"Drama","cheap","negative",1172
"Action & Adventure","nice","positive",1171
"Animation","humor","positive",1171
"Drama","struggle","negative",1171
"Comedy","joy","positive",1169
"Horror","hard","negative",1168
"Drama","blockbuster","positive",1167
"Drama","redemption","positive",1167
"Drama","suffers","negative",1166
"Action & Adventure","amazing","positive",1165
"Romance","worth","positive",1164
"Kids & Family","magic","positive",1163
"Drama","respect","positive",1161
"Science Fiction & Fantasy","clever","positive",1161
"Comedy","memorable","positive",1160
"Drama","delightful","positive",1156
"Kids & Family","sweet","positive",1156
"Documentary","fans","positive",1155
"Drama","unsettling","negative",1155
"Drama","shallow","negative",1154
"Mystery & Suspense","cold","negative",1153
"Science Fiction & Fantasy","dull","negative",1153
"Drama","consistently","positive",1152
"Mystery & Suspense","complex","negative",1150
"Action & Adventure","stupid","negative",1149
"Comedy","heartfelt","positive",1146
"Drama","accomplished","positive",1144
"Action & Adventure","appeal","positive",1140
"Drama","outstanding","positive",1140
"Comedy","beautifully","positive",1139
"Drama","inspirational","positive",1138
"Drama","exhilarating","positive",1137
"Horror","tension","negative",1133
"Drama","dumb","negative",1132
"Comedy","tired","negative",1131
"Drama","challenging","negative",1129
"Art House & International","powerful","positive",1128
"Science Fiction & Fantasy","worst","negative",1126
"Drama","incredibly","positive",1125
"Action & Adventure","perfectly","positive",1123
"Documentary","hard","negative",1120
"Comedy","consistently","positive",1117
"Comedy","goofy","negative",1117
"Drama","crazy","negative",1117
"Mystery & Suspense","decent","positive",1115
"Action & Adventure","brilliant","positive",1114
"Drama","safe","positive",1113
"Mystery & Suspense","lead","positive",1113
"Drama","loved","positive",1112
"Drama","gangster","negative",1111
"Drama","modest","positive",1111
"Mystery & Suspense","easy","positive",1110
"Mystery & Suspense","boring","negative",1109
"Comedy","awful","negative",1108
"Romance","charm","positive",1105
"Comedy","honest","positive",1104
"Science Fiction & Fantasy","lost","negative",1104
"Documentary","funny","negative",1103
"Horror","monster","negative",1102
"Drama","grief","negative",1101
"Mystery & Suspense","wrong","negative",1099
"Romance","humor","positive",1099
"Action & Adventure","pleasure","positive",1097
"Art House & International","entertaining","positive",1097
"Comedy","lazy","negative",1097
"Drama","monster","negative",1097
"Mystery & Suspense","evil","negative",1094
"Drama","poor","negative",1093
"Drama","slowly","negative",1093
"Mystery & Suspense","excellent","positive",1092
"Comedy","fall","negative",1091
"Horror","worth","positive",1091
"Action & Adventure","monster","negative",1088
"Art House & International","humor","positive",1088
"Drama","magical","positive",1088
"Drama","effectively","positive",1087
"Drama","sexy","positive",1087
"Comedy","excellent","positive",1086
"Action & Adventure","effective","positive",1085
"Drama","conflict","negative",1085
"Drama","incredible","positive",1084
"Musical & Performing Arts","fun","positive",1084
"Drama","likable","positive",1082
"Drama","taut","negative",1082
"Mystery & Suspense","hell","negative",1081
"Action & Adventure","die","negative",1080
"Drama","skill","positive",1080
"Comedy","weird","negative",1078
"Science Fiction & Fantasy","lacks","negative",1077
"Action & Adventure","thrill","positive",1075
"Drama","sadly","negative",1075
"Science Fiction & Fantasy","top","positive",1074
"Action & Adventure","falls","negative",1073
"Comedy","creative","positive",1072
"Drama","pretentious","negative",1071
"Comedy","cool","positive",1070
"Drama","hate","negative",1070
"Mystery & Suspense","intense","negative",1070
"Drama","marvel","positive",1068
"Drama","thrill","positive",1065
"Comedy","pure","positive",1062
"Comedy","strange","negative",1062
"Science Fiction & Fantasy","mess","negative",1061
"Drama","elegant","positive",1059
"Drama","uplifting","positive",1059
"Horror","humor","positive",1059
"Animation","classic","positive",1058
"Action & Adventure","memorable","positive",1057
"Action & Adventure","powerful","positive",1056
"Comedy","inventive","positive",1056
"Horror","love","positive",1055
"Action & Adventure","evil","negative",1053
"Mystery & Suspense","lack","negative",1053
"Drama","daring","positive",1052
"Science Fiction & Fantasy","thrilling","positive",1052
"Drama","inventive","positive",1049
"Drama","magnificent","positive",1047
"Science Fiction & Fantasy","fine","positive",1047
"Comedy","crazy","negative",1046
"Art House & International","worth","positive",1045
"Comedy","boring","negative",1043
"Drama","mesmerizing","positive",1043
"Mystery & Suspense","bloody","negative",1043
"Comedy","crude","negative",1041
"Action & Adventure","lead","positive",1039
"Comedy","supporting","positive",1039
"Drama","unusual","negative",1039
"Drama","mediocre","negative",1037
"Kids & Family","charm","positive",1036
"Science Fiction & Fantasy","fresh","positive",1036
"Romance","enjoyable","positive",1035
"Drama","oddly","negative",1034
"Science Fiction & Fantasy","engaging","positive",1034
"Action & Adventure","excellent","positive",1032
"Drama","missed","negative",1031
"Drama","morality","positive",1031
"Drama","nicely","positive",1028
"Drama","poetic","positive",1028
"Drama","devastating","negative",1026
"Action & Adventure","bloody","negative",1022
"Drama","spiritual","positive",1022
"Romance","perfect","positive",1019
"Drama","melancholy","negative",1018
"Horror","evil","negative",1012
"Drama","awkward","negative",1011
"Action & Adventure","free","positive",1010
"Drama","enjoyed","positive",1010
"Drama","failure","negative",1010
"Comedy","unexpected","negative",1009
"Mystery & Suspense","falls","negative",1009
"Science Fiction & Fantasy","charm","positive",1009
"Comedy","bright","positive",1008
"Comedy","contrived","negative",1008
"Drama","recommend","positive",1005
"Comedy","poignant","positive",1004
"Drama","bright","positive",1004
"Art House & International","romantic","positive",1003
"Drama","dazzling","positive",1002
"Drama","superbly","positive",1001
"Drama","disappointment","negative",999
"Drama","sincere","positive",999
"Science Fiction & Fantasy","spectacular","positive",999
"Animation","plot","negative",998
"Mystery & Suspense","beautiful","positive",996
"Mystery & Suspense","disturbing","negative",993
"Action & Adventure","sweet","positive",992
"Action & Adventure","charming","positive",991
"Science Fiction & Fantasy","hero","positive",991
"Action & Adventure","excitement","positive",990
"Action & Adventure","hell","negative",990
"Comedy","success","positive",990
"Drama","remarkably","positive",989
"Kids & Family","charming","positive",989
"Action & Adventure","masterpiece","positive",988
"Comedy","impressive","positive",988
"Action & Adventure","talent","positive",987
"Art House & International","fascinating","positive",986
"Mystery & Suspense","talent","positive",985
"Drama","manipulative","negative",983
"Comedy","refreshing","positive",982
"Drama","bizarre","negative",976
"Drama","unforgettable","positive",975
"Drama","tired","negative",974
"Drama","weak","negative",974
"Mystery & Suspense","fresh","positive",974
"Comedy","lovely","positive",973
"Comedy","succeeds","positive",973
"Comedy","beauty","positive",972
"Action & Adventure","amusing","positive",970
"Comedy","hot","positive",970
"Drama","shock","negative",969
"Mystery & Suspense","hero","positive",969
"Comedy","fairly","positive",967
"Drama","painful","negative",967
"Art House & International","bad","negative",966
"Art House & International","dark","negative",966
"Drama","shocking","negative",965
"Comedy","slow","negative",964
"Comedy","spirited","positive",963
"Drama","pleasing","positive",962
"Drama","stupid","negative",961
"Mystery & Suspense","ridiculous","negative",961
"Comedy","cheap","negative",959
"Comedy","intelligent","positive",959
"Documentary","powerful","positive",958
"Drama","cute","positive",956
"Drama","ugly","negative",956
"Drama","die","negative",955
"Drama","struggles","negative",954
"Science Fiction & Fantasy","boring","negative",954
"Drama","capable","positive",953
"Drama","award","positive",952
"Action & Adventure","twists","negative",948
"Mystery & Suspense","slick","positive",948
"Science Fiction & Fantasy","fast","positive",948
"Drama","insightful","positive",947
"Comedy","scary","negative",946
"Action & Adventure","complex","negative",945
"Art House & International","strong","positive",945
"Drama","absurd","negative",944
"Drama","cynical","negative",944
"Drama","kill","negative",944
"Special Interest","entertaining","positive",944
"Drama","talents","positive",942
"Action & Adventure","beautifully","positive",941
"Comedy","difficult","negative",941
"Horror","silly","negative",940
"Drama","survival","positive",939
"Action & Adventure","hilarious","positive",935
"Horror","bloody","negative",934
"Romance","smart","positive",933
"Action & Adventure","disappointing","negative",932
"Action & Adventure","slick","positive",932
"Drama","rocky","negative",931
"Drama","masterful","positive",928
"Drama","messy","negative",928
"Art House & International","beautifully","positive",927
"Horror","clever","positive",927
"Comedy","smile","positive",925
"Drama","worthwhile","positive",925
"Drama","promising","positive",924
"Action & Adventure","humour","positive",921
"Drama","broken","negative",921
"Kids & Family","enjoy","positive",921
"Comedy","lame","negative",920
"Drama","timely","positive",920
"Kids & Family","hard","negative",920
"Kids & Family","enjoyable","positive",918
"Romance","fine","positive",918
"Musical & Performing Arts","fans","positive",917
"Drama","exceptional","positive",916
"Special Interest","love","positive",915
"Mystery & Suspense","worthy","positive",914
"Comedy","crime","negative",913
"Romance","leads","positive",912
"Drama","issue","negative",911
"Mystery & Suspense","impossible","negative",911
"Mystery & Suspense","taut","negative",911
"Action & Adventure","wonderful","positive",909
"Drama","admirable","positive",905
"Horror","terror","negative",902
"Science Fiction & Fantasy","stunning","positive",902
"Action & Adventure","awful","negative",901
"Science Fiction & Fantasy","fails","negative",901
"Science Fiction & Fantasy","scary","negative",901
"Drama","lively","positive",900
"Musical & Performing Arts","entertaining","positive",900
"Mystery & Suspense","dumb","negative",898
"Mystery & Suspense","fear","negative",897
"Special Interest","funny","negative",897
"Comedy","issues","negative",896
"Drama","empathy","positive",896
"Drama","crisis","negative",895
"Comedy","gentle","positive",893
"Drama","winner","positive",892
"Action & Adventure","cold","negative",891
"Drama","astonishing","positive",891
"Drama","delicate","positive",891
"Comedy","awkward","negative",889
"Comedy","terrible","negative",889
"Drama","brave","positive",889
"Drama","endearing","positive",889
"Drama","rewarding","positive",889
"Mystery & Suspense","masterpiece","positive",889
"Comedy","impossible","negative",888
"Drama","gem","positive",888
"Drama","intrigue","positive",887
"Drama","popular","positive",887
"Drama","excitement","positive",886
"Action & Adventure","intense","negative",884
"Kids & Family","fans","positive",884
"Comedy","mediocre","negative",883
"Comedy","wonderfully","positive",883
"Drama","depressing","negative",883
"Drama","waste","negative",882
"Drama","wildly","negative",882
"Comedy","hell","negative",880
"Comedy","fascinating","positive",878
"Drama","dynamic","positive",878
"Kids & Family","pretty","positive",875
"Science Fiction & Fantasy","amazing","positive",875
"Action & Adventure","terrible","negative",874
"Comedy","disappointing","negative",874
"Drama","superficial","negative",874
"Horror","death","negative",874
"Comedy","successful","positive",870
"Comedy","ridiculous","negative",869
"Drama","famous","positive",869
"Drama","charisma","positive",868
"Mystery & Suspense","pleasure","positive",868
"Science Fiction & Fantasy","modern","positive",868
"Action & Adventure","genuine","positive",867
"Drama","handsome","positive",867
"Action & Adventure","creative","positive",866
"Action & Adventure","gorgeous","positive",865
"Kids & Family","clever","positive",865
"Drama","breaking","negative",861
"Mystery & Suspense","cheap","negative",861
"Drama","loving","positive",860
"Science Fiction & Fantasy","cool","positive",860
"Comedy","effective","positive",859
"Comedy","parody","negative",859
